time,SQ,TSLA,AAPL,GOOG,DIS,JPM,TDOC
2017-05-16 00:00:00-04:00,20.33,317.01,155.47,943.0,107.97,87.61,28.55
2017-05-17 00:00:00-04:00,19.56,306.0,150.2,919.84,106.325,84.23,27.575
2017-05-18 00:00:00-04:00,19.685,313.0599,152.51,930.14,104.27,84.0,28.5
2017-05-19 00:00:00-04:00,19.91,310.74,153.05,934.02,107.49,84.76,29.65
2017-05-22 00:00:00-04:00,20.95,310.3,153.96,941.86,107.61,84.69,28.5
2017-05-23 00:00:00-04:00,21.6635,303.86,153.8,948.79,107.07,85.77,29.05
2017-05-24 00:00:00-04:00,21.93,310.22,153.3,954.96,107.74,85.7,29.05
2017-05-25 00:00:00-04:00,22.33,316.83,153.91,969.54,104.84,85.34,30.45
2017-05-26 00:00:00-04:00,22.33,325.05,153.59,971.23,105.96,85.34,30.25
2017-05-30 00:00:00-04:00,22.755,335.12,153.67,975.74,105.89,83.88,29.65
2017-05-31 00:00:00-04:00,23.0,341.01,152.77,964.86,107.92,82.15,30.6
2017-06-01 00:00:00-04:00,23.225,340.29,153.18,967.04,105.76,83.07,31.0
2017-06-02 00:00:00-04:00,23.21,339.85,155.45,975.59,104.75,82.54,32.9
2017-06-05 00:00:00-04:00,23.38,347.32,153.93,983.11,106.51,82.79,32.4
2017-06-06 00:00:00-04:00,24.21,352.8,154.45,976.56,105.51,82.97,33.5
2017-06-07 00:00:00-04:00,24.285,359.55,155.37,980.82,103.52,83.88,34.0
2017-06-08 00:00:00-04:00,24.795,370.01,154.92,983.4,104.32,84.9536,33.0
2017-06-09 00:00:00-04:00,23.02,357.45,148.97,949.93,105.62,86.96,31.6
2017-06-12 00:00:00-04:00,23.595,358.99,145.4,942.89,107.05,86.99,30.65
2017-06-13 00:00:00-04:00,23.48,375.95,146.59,953.41,104.15,87.27,32.55
2017-06-14 00:00:00-04:00,23.47,380.6599,145.16,950.76,103.74,87.0932,32.95
2017-06-15 00:00:00-04:00,23.99,375.34,144.3,942.6,105.95,86.57,33.4
2017-06-16 00:00:00-04:00,23.55,371.4,142.25,939.73,105.53,86.18,34.0
2017-06-19 00:00:00-04:00,24.199,369.8,146.34,957.25,105.32,88.01,35.75
2017-06-20 00:00:00-04:00,23.84,372.24,145.01,950.44,103.94,87.54,32.625
2017-06-21 00:00:00-04:00,24.15,376.4,145.87,959.51,104.83,87.14,33.8
2017-06-22 00:00:00-04:00,24.27,382.61,145.63,957.1,104.22,87.05,34.65
2017-06-23 00:00:00-04:00,24.17,383.23,146.29,965.59,104.435,86.84,36.05
2017-06-26 00:00:00-04:00,23.92,377.47,145.8,952.0777,105.55,87.26,35.7
2017-06-27 00:00:00-04:00,23.31,362.36,143.78,928.13,105.44,88.08,34.8
2017-06-28 00:00:00-04:00,24.3,371.01,145.83,940.49,104.44,89.81,36.2
2017-06-29 00:00:00-04:00,23.41,360.8899,143.67,917.76,105.68,91.16,35.3
2017-06-30 00:00:00-04:00,23.4599,361.73,144.03,908.73,103.85,91.41,34.65
2017-07-03 00:00:00-04:00,22.83,352.52,143.5,898.42,107.48,92.72,34.25
2017-07-05 00:00:00-04:00,23.7657,327.0,144.09,911.78,103.24,93.66,35.1
2017-07-06 00:00:00-04:00,23.23,308.72,142.72,906.7,102.53,93.38,34.65
2017-07-07 00:00:00-04:00,23.59,313.15,144.17,918.52,103.28,93.85,35.2
2017-07-10 00:00:00-04:00,23.93,315.97,145.09,928.79,102.76,93.2,35.0
2017-07-11 00:00:00-04:00,25.44,327.19,145.55,930.3,103.86,92.82,35.225
2017-07-12 00:00:00-04:00,26.2158,329.4,145.77,943.84,103.55,92.54,35.4
2017-07-13 00:00:00-04:00,25.99,323.29,147.78,947.159,104.24,93.2,34.7
2017-07-14 00:00:00-04:00,26.3193,327.67,149.04,956.0,105.09,92.24,35.35
2017-07-17 00:00:00-04:00,26.185,319.4,149.6,953.7,104.79,91.35,34.85
2017-07-18 00:00:00-04:00,26.58,328.22,150.08,965.21,104.91,91.05,35.1
2017-07-19 00:00:00-04:00,26.35,325.25,151.02,970.9,106.81,91.2,35.2
2017-07-20 00:00:00-04:00,26.39,329.8,150.35,968.47,107.41,91.24,34.4
2017-07-21 00:00:00-04:00,26.8101,328.24,150.3,972.92,106.24,90.87,34.35
2017-07-24 00:00:00-04:00,26.73,342.14,152.11,983.3,107.04,91.35,34.3
2017-07-25 00:00:00-04:00,26.87,339.58,152.75,950.65,105.57,92.8,34.7
2017-07-26 00:00:00-04:00,27.31,343.75,153.5,947.8,106.92,91.93,34.3
2017-07-27 00:00:00-04:00,25.905,334.4,150.55,934.09,109.99,91.55,32.5
2017-07-28 00:00:00-04:00,26.18,334.88,149.49,941.5,109.08,91.27,33.8
2017-07-31 00:00:00-04:00,26.32,323.34,148.77,930.5,109.05,91.81,32.75
2017-08-01 00:00:00-04:00,26.8,319.55,150.05,930.83,110.61,92.995,32.6
2017-08-02 00:00:00-04:00,26.404,325.83,157.15,929.89,108.65,93.079,30.75
2017-08-03 00:00:00-04:00,25.2066,347.0772,155.51,923.76,109.07,92.46,30.3
2017-08-04 00:00:00-04:00,25.21,357.0026,156.34,927.34,107.64,93.68,30.95
2017-08-07 00:00:00-04:00,25.69,355.17,158.79,928.85,106.34,94.02,31.75
2017-08-08 00:00:00-04:00,26.01,365.27,160.1,926.76,106.98,93.67,32.6
2017-08-09 00:00:00-04:00,25.58,363.64,161.1,922.9,102.78,93.51,31.95
2017-08-10 00:00:00-04:00,24.64,355.4,155.32,907.23,101.34,92.19,30.7
2017-08-11 00:00:00-04:00,24.81,357.87,157.49,914.45,102.0,91.45,30.4
2017-08-14 00:00:00-04:00,25.18,363.8,159.78,922.66,101.37,92.45,30.75
2017-08-15 00:00:00-04:00,24.82,362.23,161.64,922.19,100.7,92.74,31.2
2017-08-16 00:00:00-04:00,24.99,362.91,160.92,927.27,102.22,92.11,30.1
2017-08-17 00:00:00-04:00,24.53,351.85,157.86,911.01,101.39,90.66,30.1
2017-08-18 00:00:00-04:00,24.83,347.51,157.51,910.71,100.69,90.76,29.5
2017-08-21 00:00:00-04:00,24.45,337.87,157.16,906.32,100.36,90.61,28.95
2017-08-22 00:00:00-04:00,25.33,341.27,159.78,924.6,102.78,91.57,29.05
2017-08-23 00:00:00-04:00,25.47,352.75,159.99,927.55,101.5,91.68,29.25
2017-08-24 00:00:00-04:00,25.655,352.94,159.31,921.69,101.53,91.5,29.95
2017-08-25 00:00:00-04:00,25.0,347.99,159.86,915.89,102.439,91.9,29.8
