Date,AAPL,FB,NVDA,PYPL,SHOP,SQ,TDOC,TSLA,TWTR,Z
2016-01-04,270597600,37912400,8951900,12287700,601800,2751500,186100,34135500,15325000,1504400
2016-01-05,223164000,23258200,12256800,11227700,418200,2352800,373300,15934000,17077700,1252600
2016-01-06,273829600,25096200,11233600,8441300,256600,1850600,509600,18895500,14033600,1089100
2016-01-07,324377600,45172900,16132600,11041100,416000,1636000,277400,17771500,20759800,1178900
2016-01-08,283192000,35402300,9961800,7848800,137400,587300,192700,18140500,21832300,1056500
2016-01-11,198957600,29932400,10234300,8937400,294500,1676900,191400,20457000,21342100,1214600
2016-01-12,196616800,28395400,11733900,7854000,369800,2136100,262000,15459500,14601300,1226000
2016-01-13,249758400,33410600,12041800,8069400,510500,2095200,474000,20632000,35876000,2379400
2016-01-14,252680400,48658600,15005900,7749500,813700,1604900,304400,32453500,37117100,2615800
2016-01-15,319335600,46132800,21036300,12174400,921200,1203700,200400,27893000,24600000,3363000
2016-01-19,212350800,30998300,11428500,6674700,883500,2741500,228100,20193500,24284700,3169000
2016-01-20,289337600,59051400,12029500,13170600,502600,3751100,473600,29193000,69194900,2846200
2016-01-21,208646000,30518900,12036400,9978900,1102800,1384500,580700,15831000,26342100,2047800
2016-01-22,263202000,30495400,6449900,9444000,782000,1128900,216600,15620500,15622800,1688900
2016-01-25,207178000,32482000,6768200,7591800,338000,737500,327500,13493500,33661100,1191200
2016-01-26,300308000,26877100,5698600,8617000,175600,756500,219100,24821000,22146300,2062800
2016-01-27,533478800,58699400,5792500,12711700,289000,1347300,163900,18086000,16826700,990000
2016-01-28,222715200,107475300,6919400,20378600,315300,1202200,425600,22964000,16835100,1376300
2016-01-29,257666000,62739500,7762600,21201100,538400,1986800,192400,14261500,16882500,1329100
2016-02-01,163774000,46132700,7247100,17356000,373400,865300,433900,26488000,49994400,2040500
2016-02-02,149428800,59778600,8547700,17310600,538700,663100,212400,28868000,31835100,1385900
2016-02-03,183857200,56919300,8169300,14543100,555800,1235400,257900,39657000,24312600,1603000
2016-02-04,185886800,38890200,8703500,10212300,363700,1042800,377500,21927000,18291800,1819800
2016-02-05,185672400,76894700,15010700,16245800,1391800,1872000,372800,47188000,24130500,3164700
2016-02-08,216085600,71229700,15221300,20629000,623700,1142300,145100,46565000,24962700,4617900
2016-02-09,177324800,62709000,10634300,16439200,392700,1799400,257500,43258000,26824700,3074300
2016-02-10,169374400,45179400,8395000,8636500,160200,1411900,214100,52032500,41086100,1989800
2016-02-11,200298800,43670600,8503600,13170100,212600,1102800,588700,71262000,38657700,5015900
2016-02-12,161405600,36176800,8520400,9437100,495200,8306900,190200,36179000,35703900,6570100
2016-02-16,196231600,45687200,12133800,9152400,1185100,3491800,284400,27969000,17286100,2666400
2016-02-17,179452800,44073400,19286700,12070600,3491400,2046700,568200,29126000,25837500,1829000
2016-02-18,156084000,29593500,26716500,9022100,1458500,954300,280200,19438000,34586300,1984300
2016-02-19,141496800,32404500,13140700,9652800,638600,1039400,229600,14797000,24004200,1798300
2016-02-22,137123200,35709700,11241700,10476200,764000,1224100,180500,25300500,25021600,2619300
2016-02-23,127770400,25319300,9234500,8415200,1305800,1004100,251900,29922000,25768300,2906700
2016-02-24,145022800,34412400,8421300,8090600,971500,622500,124500,26978000,26694200,2010600
2016-02-25,110330800,29906300,8740400,5209500,1271500,861000,280500,28753500,22364200,1736200
2016-02-26,115964400,26686200,9049100,8595000,1106200,1081800,206300,30325500,16344100,1594900
2016-02-29,140865200,32779000,8083600,23939900,648100,1071100,335200,22495000,17398700,2391500
2016-03-01,201628400,26817300,8717500,14085300,692700,905100,201100,33561000,19333800,2240900
2016-03-02,132678400,25670200,5845300,12895900,1495800,2662900,358900,24312000,17218600,1622200
2016-03-03,147822800,21353100,7550100,7656900,1210500,2686700,422000,24145000,23247400,2311500
2016-03-04,184220400,24938900,4382600,7200100,877200,1960100,348400,32445500,30105000,1244400
2016-03-07,143315600,31436400,5999200,5327200,861900,2091400,225200,26647000,19750200,1180700
2016-03-08,126247600,25617000,6873500,6012700,1348200,1816700,189400,20893500,16402800,1592600
2016-03-09,108806800,20493300,5569700,4990500,949900,5849500,165100,16043000,21555600,2080900
2016-03-10,134054400,24854300,7152100,7655700,490600,9802000,225800,25962500,33207600,1141800
2016-03-11,109632800,20697600,6935000,9539500,634700,2337700,266100,16715500,21494600,746600
2016-03-14,100304400,17249400,4757800,5299700,215000,3553600,292900,20328500,16524500,638800
2016-03-15,160270800,17618500,5655400,5013900,269300,1764000,198700,15902500,19717500,1096400
2016-03-16,153214000,24744800,9091100,6363500,401000,977000,165500,17583500,24783600,600200
2016-03-17,137682800,24241200,8842000,9789600,560800,1309500,566700,18914500,17061900,814100
2016-03-18,176820800,36256900,13637800,15132400,1456300,3161900,835900,23559000,21159300,1313500
2016-03-21,142010800,18448000,8444500,13432400,408200,5097700,304700,26539000,12560200,834500
2016-03-22,129777600,19001100,6050300,10552300,668200,2755900,460700,21580000,9566100,2375700
2016-03-23,102814000,18562000,10725200,8104700,381600,5390000,293900,24744000,18009200,1537500
2016-03-24,104532000,17839100,6123900,15040600,682300,1765600,325700,24804500,14902100,845300
2016-03-28,77645600,21351800,6634700,6192900,544400,3367500,452100,19628500,14147700,715900
2016-03-29,124760400,29825300,6545300,5694000,403000,3605800,260800,20071500,17020200,1281400
2016-03-30,182404400,33235200,9417500,5246800,544100,5110400,478900,20165000,19380800,773700
2016-03-31,103553600,21207500,9497100,8087000,531100,5629300,218100,40064500,18894800,1458300
2016-04-01,103496000,24760500,8707300,6982000,652800,4776700,562300,79987500,21009400,1407500
2016-04-04,149424800,48487900,9848500,5381300,1619700,2242600,183200,67376500,38258800,1439200
2016-04-05,106314800,22962400,8489200,5364800,558700,1886400,254400,49743500,41742200,2099500
2016-04-06,105616400,20814600,11334400,5526200,493800,3038700,314100,58527500,23135700,2289000
2016-04-07,127207600,20714500,9452600,7294500,320300,1759400,192400,44281000,23324200,1341200
2016-04-08,94326800,48497800,6398400,7822300,443400,1869500,555600,36819500,18684000,1792500
2016-04-11,117630000,39762300,9688100,5428900,568600,3104200,285800,45808500,14205400,1359700
2016-04-12,108929200,26248100,7319100,7677100,408000,2358800,157900,28816000,14938600,1020800
2016-04-13,133029200,88227400,8767900,7082400,494900,2646500,251600,24628000,22648300,658800
2016-04-14,101895600,28473300,10414100,4590200,627800,1754300,229600,20661000,16225500,824700
2016-04-15,187756000,20922800,10924300,5239600,290400,2405100,200400,18762000,16350400,407100
2016-04-18,243286000,21167200,7683000,6433000,620800,1384700,255400,21357000,17313300,601900
2016-04-19,129539600,30210500,7728800,5915800,483800,2539200,318700,31787500,24789800,810700
2016-04-20,122444000,21027900,5004300,7723500,442100,4211900,323300,25970500,17775000,1639400
2016-04-21,126210000,20875200,4457000,5539400,262900,2085800,284800,13915500,13616700,788900
2016-04-22,134732400,38458200,5588500,6433900,224200,1587100,110700,18931500,14878000,2168400
2016-04-25,112126400,21017900,4799300,7934200,325800,1956900,144000,18351500,18992700,1040600
2016-04-26,224064800,22521500,5363400,5271200,216700,1702200,151000,16119000,44649400,2519100
2016-04-27,458408400,52213100,8809900,12727600,240700,1671500,165800,16029000,84880300,1031100
2016-04-28,328970800,87110100,9530600,17800000,282500,3022000,71800,12595000,34792400,874800
2016-04-29,274126000,37140600,8047600,10001400,365200,1818900,137600,27069000,26882400,1448700
2016-05-02,192640400,28095200,6401900,6777500,506300,2546800,187800,19219500,26129200,1898700
2016-05-03,227325200,24117500,5600600,9146600,424800,2263500,163700,21511000,26044600,3474800
2016-05-04,164102000,23448400,13144100,8121600,1839100,3135100,157200,43502500,41693300,8376500
2016-05-05,143562000,22056700,6172100,7127200,1054600,4973900,145800,56274000,29135600,2680500
2016-05-06,174799600,26395600,4581000,6566900,728800,13716800,129100,28426000,21219400,1395500
2016-05-09,131745600,21138100,8333400,5861000,1623600,4881800,198400,23882000,11481000,807300
2016-05-10,134747200,23220000,6741900,6588700,585100,3068800,111300,20353000,14597200,1021900
2016-05-11,114876400,22038400,8204400,5995500,410300,2430200,386700,25809500,13790200,542900
2016-05-12,305258800,22035500,16763500,6323100,633000,2703600,220600,18252500,19863300,633500
2016-05-13,177571200,18124300,52756400,5885900,396600,1968900,412400,14114000,12711600,876800
2016-05-16,245039200,31247800,24325800,10316000,520800,5488500,308900,14747000,11578600,1220800
2016-05-17,187667600,21328600,15709800,10746100,688700,13089300,411900,14218000,15580900,1169400
2016-05-18,168249600,21642300,13526800,10393500,625300,5261500,271900,28087500,14290100,3555000
2016-05-19,121768400,20544100,9972000,17041300,760400,3792600,122900,34331500,15882200,2469300
2016-05-20,128104000,18944800,9777100,12496600,366600,4165900,189000,45035500,18497400,1528600
2016-05-23,152074400,20441000,10340900,9083800,712700,4961300,210500,25512500,12933400,979100
2016-05-24,140560800,20183600,10394700,7555200,843300,7870700,230000,15069000,36233900,1189800
2016-05-25,152675200,20019800,11451900,6538900,924100,4933900,194000,15634000,23176700,668900
2016-05-26,225324800,18481300,7749100,5894700,363800,2578400,450100,20362000,21131600,835500
2016-05-27,145364800,13493600,6935400,5863600,397800,2404700,415100,18251500,28360000,1197800
2016-05-31,169228800,23547600,10313100,12231400,852600,3815700,433100,13945000,24296600,2060500
2016-06-01,116693200,15029500,9678300,5458500,2718000,2171700,324400,14913500,18249900,1425000
2016-06-02,160766400,13228300,8230200,4658600,1277400,2332700,200300,10164000,13186100,1653300
2016-06-03,114019600,14135100,11526900,4986000,496500,3083000,203000,11145000,15496600,795900
2016-06-06,93170000,12744700,8062800,5065900,987200,1865800,251600,11247500,13768500,2022100
2016-06-07,89638000,17103000,4835000,6324400,1018400,2524700,232700,31068000,16518000,4347600
2016-06-08,83392400,14505600,5865400,8666600,677300,2951600,226800,29860000,12991000,1515400
2016-06-09,106405600,13859200,11804200,10206700,497900,2496500,195300,22460500,12398100,1074700
2016-06-10,126851600,18510800,10000600,7741400,636500,3925600,216500,30133000,22092800,1260400
2016-06-13,152082000,31718200,11889700,8216000,326000,3509100,261500,20965000,43160900,1949700
2016-06-14,127727600,17618500,7458600,10281900,415000,3510500,306200,17901000,37395700,1551300
2016-06-15,117780800,19819400,7525900,7092000,375400,3241700,472800,14542500,53535200,1509200
2016-06-16,125307200,19236300,6161400,6106000,287000,2876300,367200,12201500,23618700,2405700
2016-06-17,244032800,24644300,11775000,7947100,344000,4075200,492900,15563000,32254100,3981300
2016-06-20,137647600,20785400,7344200,7789600,953700,4263200,330900,17777500,22876100,1931000
2016-06-21,142185600,19166300,5312700,12816100,617700,2594600,429600,22645000,15086500,1652800
2016-06-22,116876400,14846300,5065500,9292400,383000,6098000,362900,118712000,13791500,2010000
2016-06-23,128960800,16176900,7447000,4808700,970800,3792900,286000,50653500,25373100,1137900
2016-06-24,301245600,40643100,25442100,17647200,588200,4909500,2061800,35132500,31560100,2596700
2016-06-27,181958400,36130400,11227200,11195800,887800,3946700,711400,36027000,23461800,1744000
2016-06-28,161779600,26813800,9548000,12408200,640900,2374100,914300,31062000,18717300,1460000
2016-06-29,146124000,20968300,7973300,9520400,640800,3367200,1398100,29974500,18236000,1609800
2016-06-30,143345600,23192700,10773500,9153000,900600,3589100,775600,24215500,14111000,1723200
2016-07-01,104106000,14980000,5462200,7260400,549100,4211300,798200,27000000,20744500,1242400
2016-07-05,110820800,14207000,9277100,5321100,659200,3407600,698200,25876500,15718000,1123000
2016-07-06,123796400,24337600,6827600,7821300,382100,1182500,904000,24599500,15665700,829400
2016-07-07,100558400,16630200,9885000,7326700,305200,2740500,902500,18060000,13492900,986100
2016-07-08,115648400,18142600,12048300,6828600,889800,3183800,853700,20374000,24884000,778300
2016-07-11,95179600,17711600,11219400,10096200,1049700,2607100,482500,27149000,24041900,774000
2016-07-12,96670000,15217700,10919000,9997200,1448600,1609900,672200,22856500,23816200,716600
2016-07-13,103568800,16207700,8115100,12458500,593900,1831200,491300,17835500,17931900,1048300
2016-07-14,155676000,14579700,7922300,9683500,611600,1850200,478300,13379000,19585300,1330800
2016-07-15,120548000,16646000,10715400,8140600,1150900,2338500,618500,11171000,17371200,922900
2016-07-18,145975600,20868400,6324800,7877400,779900,1543700,1233500,17060500,29731200,593300
2016-07-19,95119600,21541300,9566300,8120100,1570100,1484600,2683300,15575500,27283400,841700
2016-07-20,105104000,20046500,7411500,11189100,1239200,2608200,1477500,12842500,15029200,1455200
2016-07-21,130808000,17801700,9032700,13363300,994100,2687400,892900,22143500,13907800,1623400
2016-07-22,113254800,18422400,7894200,36397300,1637000,1741700,486000,12898500,19639500,613900
2016-07-25,161531600,18487400,7813200,16904100,540600,5623800,761300,22453500,21485300,991600
2016-07-26,224959200,17612000,12862700,10279200,802000,2816600,368800,17150000,44132800,1867100
2016-07-27,369379200,52654200,11166900,8894200,856900,3082500,217300,14445000,83161900,1626200
2016-07-28,159479200,78955800,5547900,5111300,1046900,2129300,375700,12095500,31442400,1909900
2016-07-29,110934800,35058800,10239700,6841500,670900,2717600,307600,15354000,26057200,1187100
2016-08-01,152671600,25006900,7528000,5473900,729800,2792900,340300,20081500,26053200,1131100
2016-08-02,135266400,23968400,7068700,5997700,1203600,2980100,535800,19672000,16611300,920400
2016-08-03,120810400,18525300,7495700,7663800,3353700,8043800,1437300,19439000,55611400,1007300
2016-08-04,109634800,21066000,6817800,7507800,1561600,30313800,4152400,20735000,33119100,2845200
2016-08-05,162213600,20184000,9289700,7670400,932100,12881000,1491200,16026000,22811700,3461600
2016-08-08,112148800,15233900,7626600,6101300,1203300,5226700,538000,11318000,15502800,1423200
2016-08-09,105260800,19621000,9308600,5049100,1356800,4700500,670600,11039000,19311400,2028800
2016-08-10,96034000,10670100,9393500,5546800,1058500,3376500,415900,11691500,28645000,1487600
2016-08-11,109938000,11729500,17026600,5999400,2146400,6812500,305200,9404500,30959500,1267300
2016-08-12,74641600,12159000,35643600,6527900,970400,5723200,289800,9067500,28403200,2013700
2016-08-15,103472800,19295100,14332600,4548200,1199200,5912100,671800,10171500,58856800,1025000
2016-08-16,135177600,14222400,7191300,6170800,1924300,3508800,385800,11335500,23527700,1781400
2016-08-17,101424000,13794200,14880300,5264000,5811300,4808400,549200,8935500,22762800,2502100
2016-08-18,87938800,12400800,8292100,3880600,2196900,7220000,583200,8572500,47582500,786000
2016-08-19,101472400,11688300,7289000,5107900,1738500,5882400,682400,8297500,17026100,1275100
2016-08-22,103280800,14386400,6118700,10704300,1015800,3198900,459300,10327500,17497600,888900
2016-08-23,85030800,13309500,8494100,6066400,1702800,19081900,195900,23922000,14089300,1097600
2016-08-24,94700400,12243700,7461200,5914200,792600,6771300,194300,12853500,16788800,1200300
2016-08-25,100344800,10730800,10150800,5132100,942500,6605600,635000,8812500,13276500,650600
2016-08-26,111065200,17504800,7500600,4177700,586400,6469600,221700,11195000,11225900,840400
2016-08-29,99881200,15925900,6866300,4780700,389700,4370100,192400,16331500,11417400,394500
2016-08-30,99455600,17804300,7138600,6873600,392700,3751700,188900,15844500,8908400,422400
2016-08-31,118649600,14200600,9713600,7166300,671900,5458500,188700,16382500,34222600,1357700
2016-09-01,106806000,13536100,10712300,10412200,971500,6005300,183400,39715500,39755900,1416900
2016-09-02,107210000,12118800,8078700,6726900,1449800,3357100,183700,29887000,19891600,969700
2016-09-06,107521600,26278400,7670300,6416900,810200,4338000,298800,21953000,24174800,757200
2016-09-07,169457200,27990800,9949700,10817700,523400,2579900,285500,18204500,26593100,930300
2016-09-08,212008000,15676600,7895200,12037300,651100,2031200,262600,16889500,45229500,848300
2016-09-09,186228000,27100700,17444000,10747100,950600,5310800,316900,18785000,30859200,1626000
2016-09-12,181171200,21252800,14956500,8635000,1029500,3019400,552100,18576000,18286500,1206000
2016-09-13,248704800,18016200,11794200,17924900,590700,3389400,291200,17947000,15890000,625600
2016-09-14,443554800,15691100,7976200,13042100,579600,3423800,339900,11272500,16142100,679400
2016-09-15,359934400,15077200,12880300,12702800,523700,2879100,301200,15386000,14452700,765900
2016-09-16,319547600,24119200,22561100,11909400,689300,5550600,691300,15539000,40346700,1314300
2016-09-19,188092000,14958800,10428200,7574500,1682400,2925500,318100,11497500,23409700,685700
2016-09-20,138057200,11083800,8277800,5563300,973200,2801800,362100,12052500,15910300,719800
2016-09-21,144012800,14068300,8405300,5378400,1057000,2297600,235400,13167500,16211500,861900
2016-09-22,124296000,15538300,7718300,5691000,1021600,3113100,177400,11914500,16321100,1210100
2016-09-23,209924800,28326300,6903300,6234600,627800,2781600,150300,14526000,192415300,674700
2016-09-26,119477600,15064900,5751000,9054400,423000,4612800,252900,11972000,95403500,488300
2016-09-27,98429600,15637100,10068800,8674100,464700,2314300,337700,16866000,65489500,613100
2016-09-28,118564400,12047600,7994700,6751200,1468200,3749200,210200,10442000,44513700,950300
2016-09-29,143548000,14532200,8417100,7953000,665900,2707200,224600,13635000,26459800,803100
2016-09-30,145516400,18402900,10748300,8685600,384800,3562400,255800,12931500,17425200,1799100
2016-10-03,86807200,13156900,6064900,6925000,583000,2480400,265600,29999500,37555700,832500
2016-10-04,118947200,14307500,7040600,5046600,560500,2132100,216600,17707500,22230700,903700
2016-10-05,85812400,12386800,7636000,6128200,493000,1674600,223000,9387500,63716800,1073300
2016-10-06,115117200,11682700,9005300,6312000,313000,2370600,358200,23517000,109388200,992700
2016-10-07,97433600,12804400,7156500,6109900,735400,1660100,178500,17465000,38675700,1301200
2016-10-10,144944000,15138700,7196900,6636700,430800,1580900,198200,16581500,105887300,926100
2016-10-11,256164000,17537900,9713500,9955700,556100,2345100,198800,11642000,49156900,1240500
2016-10-12,150347200,11073000,10498000,7039900,338000,2510400,146500,9853500,23535100,1661800
2016-10-13,140769600,17139300,9752900,7865200,919600,2599800,147000,12473000,18688300,2232600
2016-10-14,142608800,13345300,8265900,6647600,501300,1897700,174000,21349500,73675300,1057700
2016-10-17,94499600,11351700,4883200,5279500,445000,2452700,140200,22770500,25800600,1142800
2016-10-18,98214000,13504000,6734300,5475900,230300,6320900,257400,28402500,18479800,1003100
2016-10-19,80138400,16752300,4976500,6587700,502100,2548300,81600,34956000,17392400,655700
2016-10-20,96503200,13167500,7802100,13337500,248100,2024200,193000,25364500,15124000,1034000
2016-10-21,92770800,19088800,6987700,37554700,330600,2957300,178500,14717000,58503900,1335400
2016-10-24,94154800,17470200,8495900,19079000,331300,2172800,141300,13758000,41781100,532600
2016-10-25,192516000,13336800,9936500,9463900,456700,2853200,220400,12225000,32456200,1043400
2016-10-26,264536800,13084700,8344800,10918800,683800,2453000,229400,28164000,35259300,1107600
2016-10-27,138248000,16741400,9716600,9447300,602600,1909400,346100,65468500,63791900,1123800
2016-10-28,151446800,24545500,7271400,11979200,814200,3150500,807500,21400500,29383300,1026100
2016-10-31,105677600,15669000,6309700,7160000,655700,2960600,370200,23461500,19530500,2542500
2016-11-01,175303200,22077800,11830600,9399000,937100,8190900,258100,35300000,22624800,2784700
2016-11-02,113326800,39640900,7396200,7920600,2149700,19503200,258200,21267000,20762800,4607700
2016-11-03,107730400,63766300,7741600,6239900,2553600,7371500,287200,13265000,17084600,2260400
2016-11-04,123348000,30545500,8219500,6541300,935700,13462800,246300,25730000,30988700,2605000
2016-11-07,130240000,23008900,12189500,7904900,824800,5571300,507900,19350500,26006200,1598900
2016-11-08,97016800,19460800,10747100,6968100,801200,4045900,272900,16338000,19987500,1001300
2016-11-09,236705600,31916000,11413300,9744400,1086100,6211500,233200,40865500,34170200,984800
2016-11-10,228538000,67846700,21732000,12097600,939400,5720600,366800,33751500,31099100,2648100
2016-11-11,136575600,32840100,54383600,10775700,891400,4766200,377600,19942500,15363800,1328700
2016-11-14,204702000,51377000,33719900,17877800,1178700,19713000,438000,32761000,23121300,1504300
2016-11-15,129058000,34681400,15652300,16037800,941500,4553100,229800,19510000,19558000,1412900
2016-11-16,235362000,32397900,24699600,12730900,564200,4296200,342600,17172000,14993300,1132600
2016-11-17,110528000,18597800,20824700,9758500,1161500,4801100,202400,24435500,16255700,1406600
2016-11-18,113715600,22879300,14401500,9521500,1424500,2937000,386700,26051500,12503200,1444900
2016-11-21,117058400,35415400,10910900,6667200,1272000,3760100,285600,21805000,13095600,1247600
2016-11-22,103862000,26089200,8259200,7734700,1699300,4480000,184700,28017000,10693400,649700
2016-11-23,109705600,15672100,11080900,5770600,784600,3051000,463900,24459500,16965900,1299000
2016-11-25,45903600,8658600,4889100,2324300,207100,2312700,101500,11830500,7862700,357200
2016-11-28,108776000,18101300,6968400,4170600,500400,4204900,329900,22646000,19281800,829500
2016-11-29,114115200,18891000,11114200,5083700,445200,5073700,629800,22196500,13549100,767900
2016-11-30,144649200,30188900,11012500,8420700,820900,7805400,453200,17735500,20605400,1555100
2016-12-01,148347600,43277000,25888100,11265600,1116800,9372900,371600,25632000,19613000,3267900
2016-12-02,106112000,25070400,11957300,6335200,1277800,7325700,280700,20211500,12208700,774800
2016-12-05,137298000,20201500,15057100,5053900,889900,4764400,354700,20361000,12121700,662800
2016-12-06,104782000,19131200,12469900,5954500,394600,3093800,451200,16958000,14033000,10549500
2016-12-07,119994800,21913700,12020100,7012000,535200,11375100,356300,27309500,32188600,3999500
2016-12-08,108273200,22442800,9538600,6102600,1115400,5539000,299500,15970500,19698300,2294100
2016-12-09,137610400,17464700,9557800,3923700,713100,3715200,278400,13612500,15956100,1174900
2016-12-12,105497600,17805500,15033300,4474500,505600,4708000,181100,12194500,15612400,1214300
2016-12-13,174935200,29768000,9694900,6385900,547900,5392900,427000,34119500,15132200,1048900
2016-12-14,136127200,25913100,24599500,4658700,534300,3072600,739200,20754500,13468900,1620600
2016-12-15,186098000,20139600,18663700,6418900,703700,4517100,665100,16098000,11957900,3577700
2016-12-16,177404400,25324300,27238200,9786300,446000,7372800,541900,18984500,14241700,1159600
2016-12-19,111117600,15918100,18616400,4268600,521800,4170500,354300,17440500,12251100,899800
2016-12-20,85700000,13684400,21201400,3637200,515600,5822700,646900,23445500,16801700,1145400
2016-12-21,95132800,10767600,14403400,6768200,649500,4275300,297200,26038000,34613900,1248400
2016-12-22,104343600,16258600,17965300,5065000,502600,4086000,166600,15555500,27951800,1759000
2016-12-23,56998000,10890000,16192300,3378100,639800,1609400,83300,23352500,17971900,1568600
2016-12-27,73187600,12051500,29856800,2660100,751300,2705600,115800,29578500,13040500,506700
2016-12-28,83623600,12087400,57394100,3292400,869200,2389000,128900,18912500,13509200,632900
2016-12-29,60158000,9934900,54384200,3708000,532600,2978700,186500,20225000,14697900,528100
2016-12-30,122345200,18684100,30323300,5012100,406900,2986600,248300,23213000,14014500,880100
2017-01-03,115127600,20663900,37549900,8247400,705400,3363900,358500,29616500,11147900,1689600
2017-01-04,84472400,19630900,29980500,6806400,848100,4977400,394100,56067500,15861300,1120400
2017-01-05,88774400,19492200,24607400,6432000,5070200,5779800,349100,29558500,17074400,2069500
2017-01-06,127007600,28545300,20571400,5586400,2061300,6382200,749300,27639500,14665100,1423900
2017-01-09,134247600,22880400,22906200,3943900,921100,4960200,567000,19897500,11918100,1754000
2017-01-10,97848400,17324600,22023000,4174900,1600900,6739900,586900,18300000,10472800,1421300
2017-01-11,110354400,18356500,13141600,4425300,947600,3952600,712900,18254000,10981500,1762400
2017-01-12,108344800,18653900,15640400,3840500,928900,2324800,397600,18951000,12375600,1537400
2017-01-13,104447600,24884300,11445500,3917700,1054200,1921400,474800,30465000,11401400,1784500
2017-01-17,137759200,15294500,14515300,5932900,1306000,3198900,445700,23087500,13151100,2163400
2017-01-18,94852000,13145900,16360600,4706000,845700,8076800,1361300,18845000,12715300,954500
2017-01-19,102389200,12195500,16121800,4717600,1000300,2511800,4805700,38661500,12735500,702500
2017-01-20,130391600,19097200,12300600,6868500,916300,3153300,872200,21021500,14844700,1030800
2017-01-23,88200800,16593600,9247600,8497100,871600,3881100,699700,31314500,11791500,1477400
2017-01-24,92844000,15162700,10701300,6106500,852300,3651900,711300,24827500,12737200,944500
2017-01-25,129510400,18731300,13069000,8604000,1116200,3234600,798200,25713000,10969300,1085800
2017-01-26,105350400,20020100,11470000,11838100,837100,4310400,1179300,15760500,10092900,753200
2017-01-27,82251600,19539500,11799900,22749200,532300,2320000,2240000,15831500,11860600,804700
2017-01-30,121510000,18956100,12400100,11486000,937700,2422200,840500,19005500,18287900,1083100
2017-01-31,196804000,19790500,9068900,9100100,704300,3124100,1238800,20580500,25869200,999600
2017-02-01,447940000,50139800,14750100,8860400,551900,4679000,948300,19794000,21208100,1532600
2017-02-02,134841600,54366400,12081000,8736800,954800,2376200,1034900,12499000,19415600,930900
2017-02-03,98029200,24804900,9318600,7131100,768900,3632200,622800,10933500,14431300,1441800
